ID,PRICEPTM,DISTANCE,WEIGHT,PCTLOAD,ORIGIN,MARKET,DEREG,CARRIER,PRODUCT
357,64655,6,0.75,3.1,MIA     ,SMALL   ,NO      ,A       ,200
358,64655,6,0.75,3.2,MIA     ,SMALL   ,NO      ,D       ,200
359,57074,6,3,12.5,MIA     ,SMALL   ,NO      ,A       ,200
360,57074,6,3,12.2,MIA     ,SMALL   ,NO      ,C       ,200
361,46930,6,7.5,32.6,MIA     ,SMALL   ,NO      ,B       ,200
362,46930,6,7.5,30.6,MIA     ,SMALL   ,NO      ,C       ,200
363,46930,6,7.5,31.9,MIA     ,SMALL   ,NO      ,D       ,200
364,46930,6,15,65.2,MIA     ,SMALL   ,NO      ,B       ,200
365,46930,6,15,61.2,MIA     ,SMALL   ,NO      ,C       ,200
366,43353,6,24,100,MIA     ,SMALL   ,NO      ,B       ,200
367,128997,1.8,0.25,1,MIA     ,SMALL   ,NO      ,A       ,200
368,128997,1.8,0.25,1.1,MIA     ,SMALL   ,NO      ,B       ,200
369,128997,1.8,0.25,1.1,MIA     ,SMALL   ,NO      ,D       ,200
370,124906,1.8,0.75,3.1,MIA     ,SMALL   ,NO      ,C       ,200
371,124906,1.8,0.75,3.2,MIA     ,SMALL   ,NO      ,D       ,200
372,87843,1.8,7.5,32.6,MIA     ,SMALL   ,NO      ,B       ,200
373,87843,1.8,15,62.5,MIA     ,SMALL   ,NO      ,A       ,200
374,87843,1.8,15,65.2,MIA     ,SMALL   ,NO      ,B       ,200
375,87843,1.8,15,63.8,MIA     ,SMALL   ,NO      ,D       ,200
376,87213,3.4,0.25,1.1,JAX     ,LARGE   ,NO      ,B       ,200
377,86576,3.4,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,200
378,75109,3.4,3,13,JAX     ,LARGE   ,NO      ,B       ,200
379,75109,3.4,3,12.8,JAX     ,LARGE   ,NO      ,D       ,200
380,61795,3.4,7.5,30.6,JAX     ,LARGE   ,NO      ,C       ,200
381,61795,3.4,15,63.8,JAX     ,LARGE   ,NO      ,D       ,200
382,57079,3.4,24,100,JAX     ,LARGE   ,NO      ,D       ,200
383,80214,3,3,12.5,JAX     ,SMALL   ,NO      ,A       ,200
384,65702,3,7.5,32.6,JAX     ,SMALL   ,NO      ,B       ,200
385,65702,3,7.5,30.6,JAX     ,SMALL   ,NO      ,C       ,200
386,65702,3,7.5,31.9,JAX     ,SMALL   ,NO      ,D       ,200
387,65702,3,15,62.5,JAX     ,SMALL   ,NO      ,A       ,200
388,60687,3,24,100,JAX     ,SMALL   ,NO      ,A       ,200
389,134929,1.7,0.25,1.1,JAX     ,LARGE   ,NO      ,B       ,200
390,130342,1.7,0.75,3.2,JAX     ,LARGE   ,NO      ,D       ,200
391,124099,1.7,3,12.5,JAX     ,LARGE   ,NO      ,A       ,200
392,91482,1.7,7.5,31.9,JAX     ,LARGE   ,NO      ,D       ,200
393,91482,1.7,15,62.5,JAX     ,LARGE   ,NO      ,A       ,200
394,91482,1.7,15,63.8,JAX     ,LARGE   ,NO      ,D       ,200
395,184492,1.7,24,100,JAX     ,LARGE   ,NO      ,B       ,200
396,84492,1.7,24,100,JAX     ,LARGE   ,NO      ,D       ,200
397,84173,3.6,0.25,1.1,JAX     ,LARGE   ,NO      ,B       ,200
398,84173,3.6,0.25,1,JAX     ,LARGE   ,NO      ,C       ,200
399,83752,3.6,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,200
400,73223,3.6,3,12.5,JAX     ,LARGE   ,NO      ,A       ,200
401,73223,3.6,3,12.2,JAX     ,LARGE   ,NO      ,C       ,200
402,60107,3.6,7.5,31.3,JAX     ,LARGE   ,NO      ,A       ,200
403,60107,3.6,15,62.5,JAX     ,LARGE   ,NO      ,A       ,200
404,92416,3,0.75,3.3,JAX     ,SMALL   ,NO      ,B       ,200
405,80214,3,3,13,JAX     ,SMALL   ,NO      ,B       ,200
406,80214,3,3,12.2,JAX     ,SMALL   ,NO      ,C       ,200
407,65702,3,7.5,30.6,JAX     ,SMALL   ,NO      ,C       ,200
408,65702,3,7.5,31.9,JAX     ,SMALL   ,NO      ,D       ,200
409,65702,3,15,62.5,JAX     ,SMALL   ,NO      ,A       ,200
410,110089,2.3,0.25,1,JAX     ,SMALL   ,NO      ,A       ,200
411,110089,2.3,0.25,1,JAX     ,SMALL   ,NO      ,C       ,200
412,107547,2.3,0.75,3.1,JAX     ,SMALL   ,NO      ,A       ,200
413,92950,2.3,3,12.2,JAX     ,SMALL   ,NO      ,C       ,200
414,92950,2.3,3,12.8,JAX     ,SMALL   ,NO      ,D       ,200
415,75998,2.3,7.5,31.3,JAX     ,SMALL   ,NO      ,A       ,200
416,75998,2.3,7.5,32.6,JAX     ,SMALL   ,NO      ,B       ,200
417,75998,2.3,15,61.2,JAX     ,SMALL   ,NO      ,C       ,200
418,70194,2.3,24,100,JAX     ,SMALL   ,NO      ,B       ,200
419,114076,2.1,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,200
420,80555,2.1,7.5,31.3,JAX     ,LARGE   ,NO      ,A       ,200
421,80555,2.1,15,62.5,JAX     ,LARGE   ,NO      ,A       ,200
422,80555,2.1,15,65.2,JAX     ,LARGE   ,NO      ,B       ,200
423,80555,2.1,15,63.8,JAX     ,LARGE   ,NO      ,D       ,200
424,74402,2.1,24,100,JAX     ,LARGE   ,NO      ,A       ,200
425,74402,2.1,24,100,JAX     ,LARGE   ,NO      ,D       ,200
426,31907,3.6,3,12.8,MIA     ,LARGE   ,YES     ,D       ,100
427,26182,2.6,24,100,MIA     ,LARGE   ,YES     ,D       ,100
428,54601,3.4,0.75,3.2,JAX     ,LARGE   ,YES     ,D       ,100
429,56644,3,0.75,3.2,JAX     ,SMALL   ,YES     ,D       ,100
430,34628,3,7.5,31.9,JAX     ,SMALL   ,YES     ,D       ,100
431,55180,3.6,0.25,1.1,JAX     ,LARGE   ,YES     ,D       ,100
432,31438,3.6,7.5,31.9,JAX     ,LARGE   ,YES     ,D       ,100
433,40541,2.1,15,63.8,JAX     ,LARGE   ,YES     ,D       ,100
434,57238,2.6,3,12.8,MIA     ,LARGE   ,YES     ,D       ,150
435,46907,2.6,7.5,31.9,MIA     ,LARGE   ,YES     ,D       ,150
436,79143,3.4,0.75,3.2,JAX     ,LARGE   ,YES     ,D       ,150
437,48241,3.4,15,63.8,JAX     ,LARGE   ,YES     ,D       ,150
438,89302,3,0.25,1.1,JAX     ,SMALL   ,YES     ,D       ,150
439,50000,3,15,63.8,JAX     ,SMALL   ,YES     ,D       ,150
440,79875,2.1,3,12.8,JAX     ,LARGE   ,YES     ,D       ,150
441,52847,2.1,24,100,JAX     ,LARGE   ,YES     ,D       ,150
442,73151,3.6,0.75,3.2,MIA     ,LARGE   ,YES     ,D       ,200
443,52560,2.6,24,100,MIA     ,LARGE   ,YES     ,D       ,200
444,103786,3.4,0.75,3.2,JAX     ,LARGE   ,YES     ,D       ,200
445,55644,3.4,24,100,JAX     ,LARGE   ,YES     ,D       ,200
446,108108,3,0.75,3.2,JAX     ,SMALL   ,YES     ,D       ,200
447,57432,3,24,100,JAX     ,SMALL   ,YES     ,D       ,200
448,105856,2.1,3,12.8,JAX     ,LARGE   ,YES     ,D       ,200
